X,Y
0.2114,0.8663
0.7515,0.8349
0.7586,0.1905
0.7126,0.1311
0.7249,0.2441
0.3905,0.147
0.6954,0.8331
0.4542,0.1591
0.3025,0.8483
0.7129,0.7954
0.4183,0.6595
0.8032,0.8735
0.765,0.1621
0.7556,0.7208
0.3133,0.8666
0.6251,0.8521
0.6817,0.1948
0.3268,0.8767
0.7376,0.1927
0.4119,0.1417
0.7353,0.2062
0.4515,0.1481
0.3305,0.1713
0.3844,0.6098
0.3851,0.1678
0.759,0.7973
0.3043,0.8801
0.7598,0.5327
0.4032,0.5736
0.7098,0.1167
0.7293,0.7311
0.4133,0.0791
0.7055,0.8237
0.7254,0.8851
0.6971,0.8626
0.3946,0.6505
0.342,0.7793
0.8347,0.5461
0.2959,0.8478
0.2445,0.9049
0.774,0.2318
0.296,0.7848
0.768,0.5457
0.8431,0.4968
0.6808,0.0806
0.6599,0.1062
0.3783,0.6511
0.4396,0.1978
0.1614,0.86
0.3142,0.7971
0.3667,0.824
0.67,0.8113
0.6802,0.8373
0.3006,0.9021
0.3268,0.1812
0.7691,0.0724
0.7119,0.1721
0.7663,0.4935
0.3652,0.1874
0.883,0.5319
0.4278,0.1452
0.4186,0.6341
0.6767,0.7873
0.3232,0.8025
0.4497,0.6524
0.6781,0.7575
0.4653,0.1463
0.3005,0.8497
0.7239,0.1704
0.7487,0.2381
0.3537,0.2236
0.751,0.5827
0.4072,0.2447
0.2373,0.905
0.7273,0.1372
0.2364,0.7953
0.266,0.8468
0.4095,0.2041
0.8241,0.803
0.1453,0.9158
0.8197,0.4792
0.6705,0.7711
0.3259,0.8046
0.4526,0.1826
0.6907,0.1755
0.4679,0.1389
0.418,0.1759
0.2795,0.8019
0.6735,0.1938
0.7985,0.5168
0.4368,0.6345
0.7389,0.1522
0.8355,0.9068
0.3303,0.8702
0.7867,0.1035
0.3208,0.175
0.7358,0.8271
0.4456,0.1874
0.346,0.1734
0.752,0.1969
0.8221,0.8095
0.8401,0.527
0.6798,0.8131
0.3541,0.5936
0.4013,0.1617
0.2665,0.9084
0.3413,0.5505
0.7816,0.8319
0.7205,0.1437
0.6402,0.0823
0.4584,0.1892
0.4309,0.1905
0.5051,0.1094
0.3317,0.1708
0.8313,0.8105
0.345,0.578
0.3454,0.868
0.76,0.0864
0.3603,0.8469
0.6994,0.1793
0.2431,0.8203
0.6979,0.8084
0.8124,0.1114
0.7835,0.8629
0.7273,0.2789
0.2323,0.8898
0.4306,0.1689
0.6814,0.8469
0.2707,0.8718
0.7666,0.277
0.7165,0.885
0.4124,0.181
0.7343,0.1463
0.3881,0.1659
0.3035,0.8777
0.3022,0.8051
0.785,0.8709
0.4148,0.1534
0.212,0.9424
0.3192,0.163
0.7364,0.0928
0.7386,0.8773
0.3852,0.2233
0.3308,0.9495
0.3672,0.2078
0.3153,0.6156
0.7833,0.5232
0.8279,0.8555
0.3953,0.1453
0.7591,0.8039
0.6477,0.2343
0.7473,0.1191
0.3234,0.2173
0.2964,0.9003
0.6273,0.2157
0.3126,0.9056
0.8124,0.8333
0.7356,0.2163
0.3102,0.8802
0.8543,0.4789
0.7018,0.1992
0.3198,0.8744
0.3141,0.8753
0.3591,0.8919
0.4072,0.236
0.7963,0.858
0.3333,0.8074
0.6272,0.7388
0.1695,0.8528
0.3508,0.1918
0.3491,0.5927
0.3891,0.2105
0.695,0.1124
0.316,0.9157
0.3691,0.6248
0.8037,0.0743
0.6499,0.8287
0.3808,0.5777
0.7296,0.534
0.3352,0.1749
0.827,0.541
0.3686,0.8796
0.7291,0.1464
0.38,0.8682
0.3274,0.1807
0.7172,0.1432
0.7107,0.1255
0.8515,0.4621
0.2546,0.8767
0.1732,0.8865
0.7973,0.479
0.4578,0.1702
0.7706,0.21
0.7979,0.5443
0.8345,0.5352
0.2942,0.9323
0.7199,0.237
0.3558,0.8499
0.2647,0.8974
0.3839,0.6742
