X,Y
0.95,0.2756
0.4997,0.7212
0.4672,0.4905
0.8196,0.2502
0.6425,0.5347
0.3195,0.6243
0.8325,0.8955
0.5695,0.6962
0.3939,0.6897
0.6152,0.6004
0.7327,0.4778
0.3099,0.4991
0.4391,0.2167
0.6009,0.2188
0.5226,0.7241
0.3633,0.2632
0.4549,0.5709
0.4165,0.7163
0.7961,0.5408
0.175,0.1389
0.4458,0.3742
0.2466,0.4387
0.2911,0.3266
0.1527,0.9917
0.241,0.2715
0.4172,0.3727
0.4791,0.3835
0.5102,0.7153
0.654,0.6787
0.4972,0.447
0.4991,0.597
0.8237,0.5663
0.6662,0.211
0.1544,0.9785
0.8276,0.5467
0.6093,0.3052
0.5555,0.3827
0.3938,0.778
0.6139,0.2853
0.2481,0.2816
0.6697,0.6782
0.5908,0.1646
0.6421,0.8389
0.4504,0.5305
0.4489,0.3556
0.3996,0.4061
0.4247,0.6548
0.8322,0.1768
0.2913,0.5442
0.6984,0.4156
0.6429,0.7741
0.6029,0.3361
0.6436,0.8077
0.5712,0.7992
0.3867,0.4595
0.5545,0.6928
0.3836,0.6011
0.5991,0.7581
0.2161,0.5269
0.5181,0.7428
0.2611,0.976
0.5018,0.259
0.7018,0.8046
0.1484,0.3556
0.3857,0.3718
0.7717,0.3859
0.3954,0.3965
0.6691,0.5836
0.7286,0.4261
0.9155,0.4016
0.2338,0.3706
0.8354,0.4204
0.6942,0.4647
0.4885,0.2329
0.448,0.6265
0.6315,0.295
0.6441,0.4375
0.6808,0.4264
0.3618,0.5742
0.8233,0.562
0.4785,0.6947
0.5437,0.7458
0.3233,0.489
0.3774,0.362
0.7528,0.8296
0.2292,0.3752
0.796,0.5701
0.3883,0.3908
0.9595,0.5343
0.3408,0.8226
0.4324,0.9218
0.5473,0.3784
0.7079,0.819
0.5219,0.4642
0.6803,0.1973
0.5765,0.2914
0.3166,0.5219
0.3106,0.461
0.8417,0.701
0.0963,0.5579
0.555,0.4219
0.3068,0.6131
0.5308,0.1606
0.596,0.7311
0.4658,0.5189
0.8861,0.2353
0.6846,0.4906
0.2749,0.3927
0.6391,0.637
0.274,0.3473
0.7699,0.2125
0.6831,0.7574
0.6203,0.2222
0.9161,0.2904
0.6878,0.3556
0.8383,0.0636
0.4756,0.3471
0.4545,0.9236
0.7516,0.6559
0.3993,0.9468
0.6418,0.4368
0.7611,0.2493
