X,Y,Z
0.7344,0.3226,0.4774
0.572,1,0.4599
0.589,0.9939,0.4832
0.354,0.8195,0.1172
0.4467,0.7266,0.0966
0.439,0.3643,0.2196
0.3156,0.919,0.1713
0.6647,0.6213,0.8122
0.8009,0.7507,0.7793
0.6018,0.5359,0.2142
0.6429,0.3371,0.2691
0.7012,0,0.5841
0.586,0.403,0.5415
0.5377,0.9466,0.4465
0.6023,0.6481,0.7136
0.352,0.8509,0.1606
0.5951,0.4819,0.2056
0.3934,0.3797,0.193
0.5613,0.4151,0.7135
0.4702,0.8959,0.0535
0.3772,0.6152,0
0.5893,0.9114,0.8949
0.5793,1,0.5246
0.4665,0.318,0.3524
0.4328,0.9449,0.2757
0.4761,0.4565,0.2649
0.3943,0.7506,0.1503
0.6668,0.2793,0.5881
0.6902,0.9964,0.4031
0.6574,0.326,0.5202
0.5499,0.8794,0.0708
0.7211,0.4119,0.5329
0.144,0.9431,0.4298
0.3368,1,0.3112
0.5932,0.8537,0.4241
0.6959,0.1981,0.6407
0.7126,0.2615,0.4834
0.4636,0.2907,0.3711
0.3556,0.8947,0.4668
0.8206,0.7568,0.7482
0.2569,0.7296,0.1082
0.4466,0.8029,0.384
0.4763,0.868,0.1962
0.8527,0.2193,0.6058
0.8298,0.4573,0.5708
0.3998,0.9212,0.2883
0.5712,0.3646,0.149
0.6297,0.8261,0.7505
0.3696,0.8069,0.1937
0.7247,0.1479,0.6779
0.51,0.9061,0.2403
0.3845,0.6467,0.2191
0.526,0.7586,0.3989
0.4543,0.8302,0.3769
0.4714,0.9331,0.4894
0.4844,0.714,0.4632
0.591,1,0.2973
0.8232,0.8,0.7951
0.5687,0.3467,0.1455
0.3681,0.3699,0.1861
0.5954,0.7179,0.6562
0.759,0.4466,0.5774
0.222,0.3914,0.3873
0.4682,0.8883,0.6219
0.6475,0.8973,0.8306
0.7506,0.2586,0.6411
0.2421,0.2738,0.2015
0.6043,0.7882,0.7566
0.3771,0.9405,0.1434
0.3166,0.5293,0.2125
0.5899,0.4139,0.7026
0.3348,0.8929,0
0.3748,0.8216,0.0934
0.3602,0.4434,0.3915
0.4577,0.2125,0.1551
0.4293,0.4191,0.2312
0.4824,1,0.1997
0.5307,0.4022,0.1932
0.5672,0.8437,0.2624
0.5731,0.8964,0.3716
0.3943,0.9005,0.4975
0.7035,0.397,0.5622
0.6106,0.1795,0.4984
0.4733,0.7694,0.5676
0.8666,0.2025,0.495
0.6285,0.7557,0.1166
0.7733,0.2179,0.6098
0.4496,0.3385,0.2376
0.473,0.5041,0.2619
0.3132,0.7385,0.4162
0.4403,1,0.086
0.5795,0.5633,0.1687
0.5284,0.9905,0.427
0.769,0.8151,0.7583
0.8887,0.3674,0.6496
0.392,0.7625,0.2737
0.8884,0.4434,0.5375
0.6842,0.6481,0.2625
0.6066,0.9248,0.2804
0.3202,0.7419,0.4301
0.5399,1,0.505
0.5013,0.8169,0.3735
0.7629,0.7134,0.9181
0.4899,0.7606,0.4538
0.6653,0.6592,0.735
0.6804,0.7748,0.8198
0.4987,0.7835,0.1293
0.6731,0.1907,0.4641
0.3607,0.8013,0.5705
0.4103,0.9285,0.2944
0.7027,0.6436,0.7451
0.7904,0.6998,0.9327
